LGAs, Estimated Population 2024(Km 2) ,Area(Km 2), Population Density(People/Km2) ,Median Age,Health Facilities,Growth Rate(%)
Agege,"1,003,400",45.5,"22,070.00",18.5,10,3.2
Ajeromi-Ifelodun,"1,734,400",45.3,"38,290.00",19.2,15,4.1
Alimosho,"2,047,000",185.2,"11,055.00",19,20,4.5
Amuwo Odofin,"1,318,100",45.5,"28,975.00",18.8,12,3.8
Apapa,"1,064,100",24.5,"43,400.00",20,8,2.5
Badagry,"1,047,600",2774.7,378,21,5,1.5
Epe,"1,006,700",3877.3,260,22,7,2
Eti-Osa,"1,101,400",1170,943,19.5,15,4
Ibeju-Lekki,"1,083,200",3446,314,20.5,6,3
Ifako-Ijaiye,"1,262,500",45.5,"27,700.00",18.5,10,3.2
Ikeja,"1,091,100",49.92,"21,854.00",18.5,10,3.2
Ikorodu,"1,177,600",1410,835,19,12,3.5
Kosofe,"1,665,400",45.5,"36,500.00",18.5,15,4
Lagos Island,"1,146,200",8.5,"135,411.00",20,5,2.5
Lagos Mainland,"1,231,600",45.5,"27,000.00",18.5,10,3.2
Mushin,"1,439,200",45.5,"31,600.00",18.5,10,3.2
Ojo,"1,456,800",45.5,"32,000.00",18.5,10,3.2
Oshodi-Isolo,"1,621,700",45.5,"35,600.00",18.5,10,3.2
Shomolu,"1,356,800",45.5,"29,900.00",18.5,10,3.2
Surulere,"1,691,400",45.5,"37,200.00",18.5,10,3.2
